"","AE-num","Total Tissue","Total SR Tissue","divided","logscaled_tissue","logscaled_tissue_sr","logscaled_tissue_std","logscaled_tissue_sr_std"
"1438","AE2985",705341243,365446948,0.518113681323467,20.3741922762947,19.7166316775081,0.878824966571244,0.058058217237984
"1439","AE2987",279336537,120057564,0.429795419136309,19.4479278386862,18.6034818857271,-0.565774732377133,-1.05509157454311
"1440","AE2988",411729489,193013460,0.468787068103349,19.8358771115736,19.07827048537,0.0392699827879638,-0.580302974900147
"1441","AE2989",333839345,223595354,0.669769328717081,19.6261704322279,19.225348520854,-0.287788029535639,-0.433224939416125
"1442","AE299",164966215,87898854,0.532829428134724,18.9212512533234,18.2916973250278,-1.38717821691848,-1.36687613524241
"1443","AE2990",306276290,144123747,0.470567757628251,19.5399981610367,18.7861828426736,-0.422182088042222,-0.872390617596609
"1444","AE2991",2875390366,1320804323,0.459347829295746,21.7794542814568,21.0015067235812,3.07046807320101,1.34293326331103
"1445","AE2992",429713017,163318279,0.380063606497636,19.8786281415142,18.9112114867652,0.105944382100337,-0.747361973504941
"1446","AE2993",269252108,107323574,0.398598825454692,19.4111587031252,18.4913588852408,-0.623119784184603,-1.1672145750294
"1447","AE2994",222362192,101540062,0.456642656229976,19.2198181058891,18.4359639780801,-0.921534100810621,-1.22260948219002
"1448","AE2996",532577503,327119187,0.614218935567768,20.093238990497,19.6058351486911,0.440650925117464,-0.0527383115790778
"1449","AE2998",2430253589,1082735614,0.445523717730841,21.6112614464672,20.8027566514318,2.80815494864813,1.14418319116168
"1450","AE2999",329175184,256845829,0.780270936219785,19.6121006411797,19.3639865756957,-0.309731240445226,-0.294586884574497
"1451","AE30",768440751,358226114,0.466172718630327,20.4598740210287,19.6966749483395,1.01245400124278,0.0381014880693185
"1452","AE300",616637179,261305282,0.423758558353161,20.2397913683874,19.3811999445996,0.66921364693284,-0.27737351567058
"1453","AE3001",519852304,227168064,0.436985778945398,20.0690552984261,19.241200671551,0.402934099482574,-0.417372788719132
"1454","AE3002",189087451,68726204,0.363462533534285,19.0577201697133,18.04564111096,-1.17434163642573,-1.61293234931018
"1455","AE3003",64584382,26604222,0.411929651970658,17.9834831748171,17.0965804829615,-2.84971896542363,-2.5619929773087
"1456","AE3005",637636522,366212280,0.574327641790882,20.2732789642264,19.7187237232306,0.721440817601805,0.0601502629604864
"1457","AE301",302118070,111761144,0.369925387117692,19.526328459199,18.5318745090811,-0.443501320820349,-1.1266989511891
"1458","AE3010",262872218,164841334,0.627077807058333,19.3871786089544,18.9204939570981,-0.660519079043916,-0.738079503172071
"1459","AE3011",516519094,193238273,0.374116417465876,20.0626228138949,19.0794345605375,0.392902012704693,-0.579138899732688
"1460","AE3012",444243662,245718984,0.553117590679324,19.9118837581556,19.3196990994639,0.1578097585931,-0.338874360806273
